name,Modification,Chassis ID,Engine,Drive
MAZDA ,C,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
MAZDA ,L,"DBA-,DC5R",ZY-VE,Full-time 4WD
EUNOS ,FI-X SV,"E-,EC8SE",K8,FF
EUNOS ,FI-X SV,"E-,EC8SE",K8,FF
EUNOS ,FI-X,"E-,EC8SE",K8,FF
EUNOS ,FI-X,"E-,EC8SE",K8,FF
EUNOS ,HI-X,"E-,EC8SE",K8,FF
MAZDA ,STYLISH V,"DBA-,DC5W",ZY-VE,FF
MAZDA ,STYLISH V,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
EUNOS ,HI-X,"E-,EC8SE",K8,FF
EUNOS ,HI-X S,"E-,EC8SE",K8,FF
EUNOS ,HI-X S,"E-,EC8SE",K8,FF
MAZDA ,L,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,T STYLE,"DBA-,DC5W",ZY-VE,FF
MAZDA ,T STYLE,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,C,"DBA-,DC5W",ZY-VE,FF
MAZDA ,C,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,L,"DBA-,DC5W",ZY-VE,FF
MAZDA ,L,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,BROWN COLLECTION,"DBA-,DC5W",ZY-VE,FF
MAZDA ,BROWN COLLECTION,"DBA-,DC5R",ZY-VE,Full-time 4WD
MAZDA ,BASE GRADE,"DBA-,DC5W",ZY-VE,FF
MAZDA ,BASE GRADE,"DBA-,DC5R",ZY-VE,Full-time 4WD
HONDA ,EURO-R X,"GH-,CL1",H22A,FF
MAZDA ,L STYLE,"DBA-,DC5W",ZY-VE,FF
MAZDA ,L STYLE,"DBA-,DC5R",ZY-VE,Full-time 4WD
HONDA ,STYLE EDITION,"GH-,CF3",F18B,FF
HONDA ,STYLE EDITION,"GH-,CF3",F18B,FF
HONDA ,PREMIUM EDITION,"LA-,CL3",F20B,FF
HONDA ,PREMIUM EDITION,"LA-,CL3",F20B,FF
HONDA ,PREMIUM EDITION,"LA-,CF5",F20B,Full-time 4WD
HONDA ,SIR,"GH-,CF4",F20B,FF
HONDA ,SIR EURO PACKAGE,"GH-,CF4",F20B,FF
HONDA ,2.0VTS,"LA-,CL3",F20B,FF
