scrape_date,website_url,Product_ID,GTIN,Brand,product,price,pack_size,multibuy_deal_quantity,multibuy_deal_price,undiscounted_price,delivery_available,review_rating,review_count,style,type,packaging,standard_drinks,alcohol_content,organic,origin
10/8/2021,https://www.liquorland.com.au/beer/tinnies-pacific-ale-can-375ml_4225942,4225942,9.31394E+12,Tinnies,Pacific Ale Can 375mL,53,Pack (24),,,56,TRUE,4.5,2,,Pacific Ale,Can,1.3,4.30%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/praga-pils-bottle-330ml_2662593,2662593,8.59419E+12,Praga,Pils Bottle 330mL,42,Pack (24),,,,TRUE,4.2,11,Lager,,Bottle,1.3,4.70%,No,Czech Republic
10/8/2021,https://www.liquorland.com.au/beer/furphy-refreshing-ale-can-375ml_2976037,2976037,9.32873E+12,Furphy,Refreshing Ale Can 375mL,51,Pack (24),,,,TRUE,4,1,,,Can,1.4,4.40%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/tooheys-extra-dry-block-can-375ml_6702420,6702420,9.31189E+12,Tooheys,Extra Dry Block Can 375mL,60,Pack (30),,,,TRUE,5,2,,Dry,Can,1.4,4.40%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/young-henrys-cloudy-cider-can-375ml_2685045,2685045,9.34624E+12,Young Henrys,Cloudy Cider Can 375mL,22,Pack (6),,,27,TRUE,,0,Apple Cider (WET),,Can,1.4,4.60%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/pure-blonde-cider-can-375ml-10-pack-_3075458,3075458,9.32E+12,Pure Blonde,Cider Can 375mL (10 Pack),30,Pack (10),,,27,TRUE,,0,Apple Cider (WET),,Can,1.3,4.20%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/peroni-leggera-bottle-330ml_6879087,6879087,8.00844E+12,Peroni,Leggera Bottle 330mL,50,Pack (24),,,48,TRUE,5,2,Blonde,Blonde,Bottle,1,3.50%,No,Italy
10/8/2021,https://www.liquorland.com.au/beer/strongbow-original-can-375ml-10-pack-_2401476,2401476,9.32E+12,Strongbow,Original Can 375mL (10 pack),25,Pack (10),,,25,TRUE,,0,,,Can,1.5,5.00%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/corona-extra-12pk-bottle-355ml_4195568,4195568,7.50106E+12,Corona,Extra 12Pk Bottle 355mL,33,Pack (12),,,,TRUE,,0,Beer,,Bottle,1.3,4.50%,No,Mexico
10/8/2021,https://www.liquorland.com.au/beer/mountain-goat-hazy-pale-ale-can-375ml_3827076,3827076,9.32883E+12,Mountain Goat,Hazy Pale Ale Can 375mL,61,Pack (24),,,70,TRUE,,0,,Pale Ale,Can,1.4,4.60%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/4-pines-brewing-pacific-ale-bottle-330ml_3479333,3479333,9.34484E+12,4 Pines Brewing,Pacific Ale Bottle 330mL,62,Pack (24),,,69,TRUE,,0,Pacific Ale,Pacific Ale,Bottle,1,3.50%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/rekorderlig-strawberry-lime-low-sugar-bottle-330ml_3137056,3137056,7.3111E+12,Rekorderlig,Strawberry & Lime Low Sugar Bottle 330mL,22,Pack (4),,,25,TRUE,,0,,,Bottle,1.1,4.00%,No,Sweden
10/8/2021,https://www.liquorland.com.au/beer/coopers-extra-stout-6pack-bottle-375ml_49559,49559,9.31044E+12,Coopers,Extra Stout 6pack Bottle 375mL,71,Pack (24),,,,TRUE,5,3,Stout,Stout,Bottle,1.9,6.30%,No,Australia
10/8/2021,https://www.liquorland.com.au/beer/smithy-s-premium-lager-bottle-330ml_4310870,4310870,9.31394E+12,Smithy's,Premium Lager Bottle 330mL,46,Pack (24),,,48,TRUE,4.3,3,Lager,Lager,Bottle,1.2,4.50%,No,Australia
