Name,Phone,Street,State,Facility_Amenities,Office_hours,Access_Hours,images,images_url,img_url_name,size,catagory,discount,price,description,Size_Catagory_Discount_Price_description
Nashville Warehousing Co Inc - 1015 Visco Dr,,1015 Visco Dr,"(['Nashville', ', ', 'TN', ' ', '37210'],)",,,,,,,,,,,,
American Self Storage,,1443 Elm Hill Pike,"(['Nashville', ', ', 'TN', ' ', '37210'],)",,,,,,,,,,,,
Mid-South Pick & Pack,,1501 County Hospital Rd,"(['Nashville', ', ', 'TN', ' ', '37218'],)",,,,,,,,,,,,
Tullahoma Storage Center,,612 S Jefferson St,"(['Tullahoma', ', ', 'TN', ' ', '37388'],)",,,,,,,,,,,,
Snow Hill Mini Storage,,3200 Nashville Hwy,"(['Dowelltown', ', ', 'TN', ' ', '37059'],)",,,,,,,,,,,,
Lockhart Mini Storage,,482 W Broad St,"(['Smithville', ', ', 'TN', ' ', '37166'],)",,,,,,,,,,,,
Superior Warehouses,,203 Ashley Ct,"(['Tullahoma', ', ', 'TN', ' ', '37388'],)",,,,,,,,,,,,
HWY 56 South Mini-Storage,,738 S Congress Blvd,"(['Smithville', ', ', 'TN', ' ', '37166'],)",,,,,,,,,,,,
Holmes Creek Boat Storage,,110 Dogwood Ridge Rd,"(['Smithville', ', ', 'TN', ' ', '37166'],)",,,,,,,,,,,,
Himesville Mini Storage,,1905 Tn-82,"(['Shelbyville', ', ', 'TN', ' ', '37160'],)",,,,,,,,,,,,
HWY 70 Boat & Mini Storage,,2789 Sparta Hwy,"(['Smithville', ', ', 'TN', ' ', '37166'],)",,,,,,,,,,,,
E T Storage - Smyrna - 8216 Florence Rd,,8216 Florence Road,"(['Smyrna', ', ', 'TN', ' ', '37167'],)",,,,,,,,,,,,
Best Self Storage,,8025 Old Nashville Hwy,"(['Murfreesboro', ', ', 'TN', ' ', '37129'],)",,,,,,,,,,,,
E T Storage,,8216 Florence Rd,"(['Smyrna', ', ', 'TN', ' ', '37167'],)",,,,,,,,,,,,
AAA Mini Storage,,10440 Old Nashville Hwy,"(['Smyrna', ', ', 'TN', ' ', '37167'],)",,,,,,,,,,,,
Action Mini Storage,,101 N Main St,"(['Estill Springs', ', ', 'TN', ' ', '37330'],)",,,,,,,,,,,,
E-Z Storage,,1119 Courier Pl,"(['Smyrna', ', ', 'TN', ' ', '37167'],)",,,,,,,,,,,,
Lampley's Self Storage,,2396 Fairview Blvd,"(['Fairview', ', ', 'TN', ' ', '37062'],)",,,,,,,,,,,,
Lampley's Self Storage - Fairview - 2396 Fairview Blvd,,2396 Fairview Blvd,"(['Fairview', ', ', 'TN', ' ', '37062'],)",,,,,,,,,,,,
White Bluff Mini Storage,,4514 Us-70,"(['White Bluff', ', ', 'TN', ' ', '37187'],)",,,,,,,,,,,,
BC Storage White Bluff,,411 Ellington Way,"(['White Bluff', ', ', 'TN', ' ', '37187'],)",,,,,,,,,,,,
Picks Mini-Storages,,3000 Westcot Rd,"(['White Bluff', ', ', 'TN', ' ', '37187'],)",,,,,,,,,,,,
Tn Mini Storage,,2950 Tn-48,"(['Dickson', ', ', 'TN', ' ', '37055'],)",,,,,,,,,,,,
Charlotte Mini Storage,,3373 Tn-48,"(['Charlotte', ', ', 'TN', ' ', '37036'],)",,,,,,,,,,,,
Harpeth Mini Storage,,178 Luyben Hills Rd,"(['Kingston Springs', ', ', 'TN', ' ', '37082'],)",,,,,,,,,,,,
Bellevue Self Svc Storage,,7650 Us-70s,"(['Nashville', ', ', 'TN', ' ', '37221'],)",,,,,,,,,,,,
Public Storage - Franklin - 1138 New Highway 96 W,,1138 New Highway 96 W,"(['Franklin', ', ', 'TN', ' ', '37064'],)",,,,,,,,,,,,
A L D Self Storage,,700 Old Hickory Blvd,"(['Nashville', ', ', 'TN', ' ', '37209'],)",,,,,,,,,,,,
Fairground Street Mini Storage,,110 Fairground St,"(['Franklin', ', ', 'TN', ' ', '37064'],)",,,,,,,,,,,,
Alpha Mini-storage - Franklin - 140 Alpha Dr,,140 Alpha Dr,"(['Franklin', ', ', 'TN', ' ', '37064'],)",,,,,,,,,,,,
Self Storage Warehouse,,101 Westwind Ct,"(['Franklin', ', ', 'TN', ' ', '37064'],)",,,,,,,,,,,,
Scottsville Mini Storage,,773 Halfway-halifax Rd,"(['Scottsville', ', ', 'KY', ' ', '42164'],)",,,,,,,,,,,,
Lok-Box Mini Storage,,1825 Industrial Byp N,"(['Franklin', ', ', 'KY', ' ', '42134'],)",,,,,,,,,,,,
S & S Mini Storage,,525 N Court St,"(['Franklin', ', ', 'KY', ' ', '42134'],)",,,,,,,,,,,,
Franklin Self-Storage,,1120 Bluegrass Rd,"(['Franklin', ', ', 'KY', ' ', '42134'],)",,,,,,,,,,,,
Hendersonville Self Storage,,322 Rockland Rd,"(['Hendersonville', ', ', 'TN', ' ', '37075'],)",,,,,,,,,,,,
Carthage Mini Storage & Apt,,24 Tanglewood Rd,"(['Carthage', ', ', 'TN', ' ', '37030'],)",,,,,,,,,,,,
AA U-Stor-It,,124 Lebanon Hwy,"(['Carthage', ', ', 'TN', ' ', '37030'],)",,,,,,,,,,,,
Vanguard Secure Self Storage,,1380 Robinson Rd,"(['Old Hickory', ', ', 'TN', ' ', '37138'],)",,,,,,,,,,,,
